station_abbr;parameter_shortname;meas_cat_nr;data_since;data_till;owner
BAN;dk1towh0;1;17.12.1992 09:00;;MeteoSchweiz
BAN;dv1towz0;1;01.02.2004 00:00;;MeteoSchweiz
BAN;fk1towd0;1;17.12.1992 00:00;;MeteoSchweiz
BAN;fk1towd1;1;17.12.1992 00:00;;MeteoSchweiz
BAN;fk1towh0;1;17.12.1992 00:00;;MeteoSchweiz
BAN;fk1towh1;1;17.12.1992 00:00;;MeteoSchweiz
BAN;fk1towz0;1;01.02.2004 00:00;;MeteoSchweiz
BAN;fkltowz1;1;01.02.2004 00:00;;MeteoSchweiz
BAN;fu3towd0;1;01.01.2018 00:00;;MeteoSchweiz
BAN;fu3towd1;1;01.01.2018 00:00;;MeteoSchweiz
BAN;fu3towh0;1;26.02.2013 00:00;;MeteoSchweiz
BAN;fu3towh1;1;26.02.2013 00:00;;MeteoSchweiz
BAN;fu3towz0;1;19.02.2005 13:50;;MeteoSchweiz
BAN;fu3towz1;1;19.02.2005 13:50;;MeteoSchweiz
BAN;gre000d0;1;07.01.2012 00:00;;MeteoSchweiz
BAN;gre000h0;1;06.01.2012 08:00;;MeteoSchweiz
BAN;gre000m0;1;01.02.2012 00:00;;MeteoSchweiz
BAN;gre000y0;1;01.01.2015 00:00;;MeteoSchweiz
BAN;gre000z0;1;06.01.2012 08:00;;MeteoSchweiz
BAN;sre000d0;1;07.01.2012 00:00;;MeteoSchweiz
BAN;sre000h0;1;06.01.2012 08:00;;MeteoSchweiz
BAN;sre000m0;1;01.02.2012 00:00;;MeteoSchweiz
BAN;sre000y0;1;01.01.2015 00:00;;MeteoSchweiz
BAN;sre000z0;1;06.01.2012 08:00;;MeteoSchweiz
BAN;ta1towd0;1;13.11.1996 00:00;;MeteoSchweiz
BAN;ta1towdn;1;21.01.2011 00:00;;MeteoSchweiz
BAN;ta1towdx;1;21.01.2011 00:00;;MeteoSchweiz
BAN;ta1towh0;1;17.12.1992 11:00;;MeteoSchweiz
BAN;ta1towhn;1;01.01.2018 00:00;;MeteoSchweiz
BAN;ta1towhx;1;01.01.2018 00:00;;MeteoSchweiz
BAN;ta1towm0;1;01.02.2011 00:00;;MeteoSchweiz
BAN;ta1towmn;1;01.02.2011 00:00;;MeteoSchweiz
BAN;ta1towmx;1;01.02.2011 00:00;;MeteoSchweiz
BAN;ta1tows0;1;01.02.2004 00:00;;MeteoSchweiz
BAN;ta1towy0;1;01.01.2012 00:00;01.01.2023 00:00;MeteoSchweiz
BAN;ta1towyn;1;01.01.2012 00:00;01.01.2023 00:00;MeteoSchweiz
BAN;ta1towyx;1;01.01.2012 00:00;01.01.2023 00:00;MeteoSchweiz
BAN;tdetowh0;1;01.01.2018 00:00;;MeteoSchweiz
BAN;tdetows0;1;01.02.2004 00:00;;MeteoSchweiz
BAN;uretowd0;1;01.01.2018 00:00;;MeteoSchweiz
BAN;uretowh0;1;01.01.2018 00:00;;MeteoSchweiz
