station_abbr;reference_timestamp;ta1towh0;ta1towhn;ta1towhx;uretowh0;tdetowh0;fk1towh0;dk1towh0;fk1towh1;fu3towh0;fu3towh1;gre000h0;sre000h0
UEB;01.01.2025 00:00;4.7;4.4;5.2;40.3;-7.7;13.4;239;15.6;48.2;56.2;4;0
UEB;01.01.2025 01:00;4.5;4.2;5;40.9;-7.6;16.2;247;18.7;58.3;67.3;4;0
UEB;01.01.2025 02:00;4.8;4.2;5.8;38.9;-8.1;18.1;245;20.7;65.2;74.5;4;0
UEB;01.01.2025 03:00;5.2;4.6;5.5;36.7;-8.4;17.3;243;19.1;62.3;68.8;3;0
UEB;01.01.2025 04:00;5;4.8;5.3;38;-8.1;15.9;240;17.8;57.2;64.1;4;0
UEB;01.01.2025 05:00;4.9;4.7;5.2;38.2;-8.1;16.7;239;18.4;60.1;66.2;4;0
UEB;01.01.2025 06:00;4.9;4.7;5.2;37.1;-8.5;16;237;18;57.6;64.8;4;0
UEB;01.01.2025 07:00;5.1;4.8;5.3;37.2;-8.4;16.4;238;18.4;59;66.2;4;0
UEB;01.01.2025 08:00;5.1;4.8;5.3;36.1;-8.7;15.1;232;16.9;54.4;60.8;41;36
UEB;01.01.2025 09:00;5.7;5.5;5.9;34.8;-8.6;16.4;236;18.2;59;65.5;157;60
UEB;01.01.2025 10:00;5.4;5;6;37.1;-8.1;18.6;240;21.6;67;77.8;330;60
UEB;01.01.2025 11:00;5.2;4.8;5.5;37.7;-8.1;16.5;238;19.8;59.4;71.3;394;60
UEB;01.01.2025 12:00;5.7;4.9;6.3;34.9;-8.6;16.1;241;18.3;58;65.9;421;60
UEB;01.01.2025 13:00;6.4;6.2;6.5;32.4;-9;16.3;239;18.2;58.7;65.5;399;60
UEB;01.01.2025 14:00;6.3;5.7;6.7;35.2;-8;15.6;237;19.6;56.2;70.6;344;60
UEB;01.01.2025 15:00;6.8;6.2;7.2;33.9;-8;17.1;238;21.3;61.6;76.7;193;49
UEB;01.01.2025 16:00;6.2;5.4;6.9;38.8;-6.8;16;240;19.7;57.6;70.9;54;0
UEB;01.01.2025 17:00;5.9;5.6;6.4;41.7;-6.2;18;243;19.8;64.8;71.3;4;0
UEB;01.01.2025 18:00;6.6;6.2;7.1;38;-6.7;18.7;242;21.6;67.3;77.8;4;0
UEB;01.01.2025 19:00;6.6;6.1;7;36.6;-7.2;17.8;239;20.8;64.1;74.9;4;0
UEB;01.01.2025 20:00;7.1;6.9;7.4;34.1;-7.6;18.8;238;21.2;67.7;76.3;4;0
UEB;01.01.2025 21:00;6.7;6.3;7.4;35.7;-7.4;17.8;239;22.1;64.1;79.6;4;0
UEB;01.01.2025 22:00;5.8;5.6;6;41;-6.4;18.2;243;21.5;65.5;77.4;4;0
UEB;01.01.2025 23:00;6.3;5.9;6.7;38.3;-6.9;19.5;248;22.6;70.2;81.4;4;0
UEB;02.01.2025 00:00;6.4;5.5;7.2;38;-6.9;20.1;243;24.4;72.4;87.8;4;0
UEB;02.01.2025 01:00;6.4;5.8;6.9;38.3;-6.8;20;244;26.5;72;95.4;4;0
UEB;02.01.2025 02:00;6.5;6;7.2;38.6;-6.7;20.3;245;25.6;73.1;92.2;4;0
UEB;02.01.2025 03:00;5.4;4.5;6.3;44.2;-5.9;19;245;24;68.4;86.4;4;0
UEB;02.01.2025 04:00;4.8;4.5;5.2;45.5;-6;18.7;245;25.4;67.3;91.4;4;0
UEB;02.01.2025 05:00;4.8;4.4;5.2;43.1;-6.6;17.9;241;26.4;64.4;95;4;0
UEB;02.01.2025 06:00;4.7;4.2;5;44.3;-6.5;19.2;239;25;69.1;90;4;0
UEB;02.01.2025 07:00;4.8;4.7;4.8;42.7;-6.9;20.1;239;25;72.4;90;4;0
UEB;02.01.2025 08:00;4.2;3.6;5.4;45.4;-6.6;15.4;237;24.2;55.4;87.1;17;0
UEB;02.01.2025 09:00;2.7;2.3;3.5;57.2;-4.9;15.2;244;20.2;54.7;72.7;59;0
UEB;02.01.2025 10:00;2.4;2.3;2.5;63.2;-3.9;18;243;24;64.8;86.4;111;0
UEB;02.01.2025 11:00;3;2.2;3.9;63.5;-3.3;18.4;246;28.1;66.2;101.2;215;21
UEB;02.01.2025 12:00;4.3;4;4.6;55.1;-3.9;20.7;244;28.2;74.5;101.5;103;0
UEB;02.01.2025 13:00;4.7;4;5.1;53.9;-3.9;18.8;242;25.8;67.7;92.9;64;0
UEB;02.01.2025 14:00;4.8;4.4;5;55.5;-3.4;20.7;242;29;74.5;104.4;32;0
UEB;02.01.2025 15:00;3;2.3;4;77.6;-0.6;21.8;240;31.5;78.5;113.4;15;0
UEB;02.01.2025 16:00;1.9;1.6;2.2;91;0.6;17;235;24.8;61.2;89.3;5;0
UEB;02.01.2025 17:00;1.6;1.4;1.6;94.6;0.8;16.3;238;21.6;58.7;77.8;3;0
UEB;02.01.2025 18:00;1.3;1.2;1.5;94.7;0.5;16.1;238;23;58;82.8;3;0
UEB;02.01.2025 19:00;1.2;0.9;1.5;94.9;0.5;13.8;247;19;49.7;68.4;3;0
UEB;02.01.2025 20:00;0.3;-0.6;0.9;93.9;-0.5;11.5;276;20.5;41.4;73.8;3;0
UEB;02.01.2025 21:00;-0.7;-1;-0.2;94.7;-1.5;6.8;342;9.3;24.5;33.5;3;0
UEB;02.01.2025 22:00;-1;-1.3;-0.6;94.9;-1.7;4.2;330;6.3;15.1;22.7;4;0
UEB;02.01.2025 23:00;-1.2;-1.5;-0.9;94.2;-2;5.3;283;7.2;19.1;25.9;3;0
UEB;03.01.2025 00:00;-1.8;-2.1;-1.2;93.1;-2.7;6.1;282;7.9;22;28.4;3;0
UEB;03.01.2025 01:00;-1.7;-2.1;-1.4;90.6;-3;4.8;329;8;17.3;28.8;3;0
UEB;03.01.2025 02:00;-2.2;-2.8;-1.7;88;-4;3.8;328;5.4;13.7;19.4;3;0
UEB;03.01.2025 03:00;-2.1;-2.4;-1.7;80;-5.1;4.2;319;5.7;15.1;20.5;4;0
UEB;03.01.2025 04:00;-2;-2.3;-1.6;70.6;-6.6;4.6;288;6.7;16.6;24.1;3;0
UEB;03.01.2025 05:00;-3.6;-3.8;-3.3;96.6;-4;3.4;256;5.9;12.2;21.2;3;0
UEB;03.01.2025 06:00;-3.7;-3.8;-3.5;100;-3.7;3.8;292;5.7;13.7;20.5;3;0
UEB;03.01.2025 07:00;-3.8;-3.9;-3.7;97.8;-4.1;4.1;290;5.9;14.8;21.2;3;0
UEB;03.01.2025 08:00;-3.8;-3.9;-3.5;93.3;-4.7;5.9;280;7.8;21.2;28.1;29;8
UEB;03.01.2025 09:00;-3.4;-3.6;-3.3;87.3;-5.2;7;266;8.4;25.2;30.2;167;38
UEB;03.01.2025 10:00;-3.8;-4.1;-3.5;90.3;-5.2;6.2;267;8.3;22.3;29.9;229;16
UEB;03.01.2025 11:00;-4.2;-4.4;-4;92.9;-5.2;6;263;8.2;21.6;29.5;117;0
UEB;03.01.2025 12:00;-4.2;-4.3;-4;94.4;-5;6.1;256;8.2;22;29.5;268;18
UEB;03.01.2025 13:00;-4.1;-4.3;-3.9;92.9;-5.1;5.1;258;7.7;18.4;27.7;183;3
UEB;03.01.2025 14:00;-3.8;-4;-3.7;94.5;-4.6;3.8;246;5.5;13.7;19.8;74;0
UEB;03.01.2025 15:00;-3.8;-3.9;-3.7;91.5;-4.9;3.8;259;5.8;13.7;20.9;44;0
UEB;03.01.2025 16:00;-4.2;-4.4;-4;90.4;-5.6;5;278;7.1;18;25.6;8;0
UEB;03.01.2025 17:00;-4.4;-4.6;-4.2;81.7;-7;7;273;9.2;25.2;33.1;3;0
UEB;03.01.2025 18:00;-4.5;-4.5;-4.4;74.6;-8.3;7.1;283;8.7;25.6;31.3;3;0
UEB;03.01.2025 19:00;-4.5;-4.8;-4.2;74.7;-8.3;6.1;276;8.2;22;29.5;3;0
UEB;03.01.2025 20:00;-4.2;-4.2;-4.1;74.8;-8;6.6;260;8.1;23.8;29.2;3;0
