station_abbr;reference_timestamp;tre200h0;tre200hn;tre200hx;tre005h0;tre005hn;ure200h0;pva200h0;tde200h0;prestah0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;fkl010h1;dkl010h0;fkl010h0;fu3010h0;fu3010h1;fkl010h3;fu3010h3;wcc006h0;fve010h0;rre150h0;htoauths;gre000h0;oli000h0;olo000h0;osr000h0;ods000h0;sre000h0;erefaoh0
BEH;01.01.2025 00:00;-1.9;-2.5;-1.5;;;39.5;2.1;-13.9;782.8;;1029.8;;1600.1;2.6;343;1.1;4;9.4;2.5;9;;;0;;1;;;;0;0;0.008
BEH;01.01.2025 01:00;-2.3;-2.7;-2;;;39.4;2;-14.3;782.4;;1029.3;;1596.5;2.8;333;0.6;2.2;10.1;2.4;8.6;;;0;;2;;;;1;0;0.002
BEH;01.01.2025 02:00;-2.9;-3.5;-2.3;;;40.5;2;-14.4;782.3;;1029.2;;1596.6;1.5;333;0.5;1.8;5.4;1.3;4.7;;;0;;2;;;;1;0;0.001
BEH;01.01.2025 03:00;-3;-3.4;-2.7;;;41.6;2;-14.2;782.1;;1028.9;;1595.4;3.9;345;1.6;5.8;14;3.7;13.3;;;0;;1;;;;0;0;0.011
BEH;01.01.2025 04:00;-3.5;-4;-2.7;;;42.1;2;-14.5;781.8;;1028.6;;1593.4;3.8;344;2;7.2;13.7;3.5;12.6;;;0;;2;;;;1;0;0.014
BEH;01.01.2025 05:00;-3.4;-3.7;-2.9;;;39.4;1.9;-15.2;781.6;;1028.3;;1591.1;3.8;347;2.3;8.3;13.7;3.7;13.3;;;0;;2;;;;1;0;0.017
BEH;01.01.2025 06:00;-3.5;-4;-2.8;;;37.6;1.8;-15.9;781.5;;1028.2;;1590.3;4.4;346;2.2;7.9;15.8;4.3;15.5;;;0;;1;;;;0;0;0.017
BEH;01.01.2025 07:00;-3.7;-4;-3.3;;;36.1;1.7;-16.5;781.4;;1028;;1589.6;3.9;349;1.6;5.8;14;3.6;13;;;0;;2;;;;1;0;0.013
BEH;01.01.2025 08:00;-3.3;-3.5;-3.2;;;33;1.6;-17.3;781.3;;1027.9;;1587.9;2.8;345;1.2;4.3;10.1;2.4;8.6;;;0;;26;;;;12;18;0.024
BEH;01.01.2025 09:00;-3;-3.3;-2.5;;;32.5;1.6;-17.3;781.5;;1028.2;;1589.1;1.8;339;0.9;3.2;6.5;1.6;5.8;;;0;;157;;;;28;60;0.049
BEH;01.01.2025 10:00;-2.4;-2.8;-1.9;;;31.1;1.6;-17.3;781.6;;1028.3;;1588.4;1.2;90;0.4;1.4;4.3;1.1;4;;;0;;292;;;;39;60;0.087
