station_abbr;reference_timestamp;tre200h0;tre200hn;tre200hx;tre005h0;tre005hn;ure200h0;pva200h0;tde200h0;prestah0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;fkl010h1;dkl010h0;fkl010h0;fu3010h0;fu3010h1;fkl010h3;fu3010h3;wcc006h0;fve010h0;rre150h0;htoauths;gre000h0;oli000h0;olo000h0;osr000h0;ods000h0;sre000h0;erefaoh0
BLA;01.01.2025 00:00;-4.3;-4.5;-4;-7;-7.4;63.4;2.8;-10.2;856.2;;1030.3;;1595.9;1.3;63;0.3;1.1;4.7;1.1;4;;;0;75;2;;;;0;0;-0.003
BLA;01.01.2025 01:00;-4.4;-4.8;-4;-7.4;-7.8;63.4;2.8;-10.3;855.8;;1029.9;;1592.8;1.9;45;0.6;2.2;6.8;1.9;6.8;;;0;75;2;;;;0;0;0
BLA;01.01.2025 02:00;-4.5;-4.8;-4.1;-7.4;-7.6;61.6;2.7;-10.8;855.8;;1029.8;;1592;2.1;59;0.7;2.5;7.6;1.9;6.8;;;0;75;2;;;;0;0;0.001
BLA;01.01.2025 03:00;-4.7;-5.1;-4.2;-7.6;-7.8;63.5;2.8;-10.6;855.6;;1029.6;;1590.7;2;45;0.6;2.2;7.2;1.9;6.8;;;0;75;2;;;;0;0;0
BLA;01.01.2025 04:00;-4.6;-5.1;-3.8;-7.5;-7.9;61.4;2.7;-10.9;855.4;;1029.3;;1588.3;2.4;51;0.7;2.5;8.6;2.3;8.3;;;0;75;2;;;;0;0;0.001
BLA;01.01.2025 05:00;-4.8;-5.1;-4.4;-7.6;-7.7;61.5;2.6;-11;855.2;;1029.1;;1587.2;2.3;60;0.9;3.2;8.3;2;7.2;;;0;75;2;;;;0;0;0.002
BLA;01.01.2025 06:00;-4.8;-4.9;-4.5;-7.6;-7.8;62.5;2.7;-10.8;855.1;;1029;;1585.5;1.9;56;0.6;2.2;6.8;1.9;6.8;;;0;75;2;;;;0;0;0
BLA;01.01.2025 07:00;-4.9;-5.2;-4.6;-7.8;-8.1;62.6;2.7;-11;855.1;;1029;;1585.6;1.8;53;0.7;2.5;6.5;1.6;5.8;;;0;74;2;;;;0;0;0.001
BLA;01.01.2025 08:00;-4.9;-5.4;-4.5;-7.7;-8;63.2;2.7;-10.8;855.1;;1029;;1586.2;1.8;56;0.6;2.2;6.5;1.6;5.8;;;0;74;8;;;;5;0;0.013
BLA;01.01.2025 09:00;-4.5;-4.9;-4;-7.2;-7.9;63.1;2.8;-10.5;855.2;;1029.1;;1586.9;1.2;90;0.3;1.1;4.3;1.2;4.3;;;0;74;19;;;;16;0;0.018
BLA;01.01.2025 10:00;-3.9;-4.5;-3.5;-6.6;-6.8;59.5;2.7;-10.7;855.3;;1029.2;;1587.9;2.7;45;1.1;4;9.7;2.6;9.4;;;0;74;23;;;;21;0;0.028
BLA;01.01.2025 11:00;-2.3;-3.4;-1.3;-5;-6.3;52.7;2.7;-10.7;854.9;;1028.8;;1584.7;3.7;45;2;7.2;13.3;3.5;12.6;;;0;74;28;;;;25;0;0.043
BLA;01.01.2025 12:00;-1.3;-1.8;-0.5;-4;-4.4;49.2;2.7;-10.6;854.2;;1028;;1578;5.8;41;2.1;7.6;20.9;5.4;19.4;;;0;74;34;;;;31;0;0.049
BLA;01.01.2025 13:00;0;-0.9;1.3;-2.6;-3.5;44.7;2.7;-10.6;853.4;;1027.1;;1571.2;6.2;41;2;7.2;22.3;6;21.6;;;0;74;88;;;;34;21;0.065
BLA;01.01.2025 14:00;1.8;1.5;2;3;2.1;41.4;2.9;-9.9;852.8;;1026.3;;1565.3;4.1;37;1.6;5.8;14.8;3.7;13.3;;;0;74;269;;;;41;60;0.1
BLA;01.01.2025 15:00;2;1.6;2.4;2.7;2;41.2;2.9;-9.8;852.5;;1026;;1562.4;3.8;34;1.5;5.4;13.7;3.6;13;;;0;74;150;;;;36;60;0.055
BLA;01.01.2025 16:00;0.3;-1.1;1.1;-1.7;-3.4;44.8;2.8;-10.4;852.3;;1025.7;;1560.1;4;45;2;7.2;14.4;3.8;13.7;;;0;74;22;;;;15;6;0.016
BLA;01.01.2025 17:00;-3;-3.6;-1.9;-5.5;-6.1;59.8;2.9;-9.7;852.3;;1025.8;;1560.1;3.3;41;1.1;4;11.9;3.2;11.5;;;0;74;3;;;;1;0;0.004
BLA;01.01.2025 18:00;-2.8;-3.3;-1.9;-5.6;-6.2;54.6;2.7;-10.6;852.2;;1025.6;;1559.4;4.1;43;1.8;6.5;14.8;4;14.4;;;0;74;2;;;;0;0;0.01
BLA;01.01.2025 19:00;-3.9;-4.2;-3.3;-6.6;-6.8;62;2.8;-10.1;852.3;;1025.7;;1559.9;3.1;45;0.9;3.2;11.2;3.1;11.2;;;0;74;2;;;;0;0;0.002
BLA;01.01.2025 20:00;-3.7;-4;-3.2;-6.7;-6.9;57;2.7;-11;852.1;;1025.6;;1558.7;3.8;43;1.8;6.5;13.7;3.6;13;;;0;74;2;;;;0;0;0.009
BLA;01.01.2025 21:00;-3.8;-4.7;-3.3;-6.7;-7.3;59.1;2.7;-10.6;851.7;;1025.1;;1555;3.7;43;1.7;6.1;13.3;3.5;12.6;;;0;74;2;;;;0;0;0.008
BLA;01.01.2025 22:00;-2.4;-3.8;-0.6;-5.4;-7.5;52;2.7;-11;851.3;;1024.5;;1550.5;5.1;48;2.5;9;18.4;5;18;;;0;74;2;;;;0;0;0.015
BLA;01.01.2025 23:00;-2;-3.6;-0.9;-4.8;-5.6;51.4;2.7;-10.8;850.9;;1024.1;;1547;4.4;51;2.3;8.3;15.8;4.3;15.5;;;0;74;2;;;;0;0;0.014
BLA;02.01.2025 00:00;-2.7;-3;-1.8;-5.8;-6.2;55.7;2.8;-10.3;850.3;;1023.4;;1541.7;3.8;43;2.1;7.6;13.7;3.7;13.3;;;0;74;2;;;;0;0;0.011
BLA;02.01.2025 01:00;-3.1;-4.2;-2.3;-5.9;-6.6;58.5;2.9;-10.1;849.6;;1022.6;;1535.1;4.2;43;2.3;8.3;15.1;4.1;14.8;;;0;74;3;;;;0;0;0.011
BLA;02.01.2025 02:00;-2.1;-2.6;-1.5;-4.6;-5;55.4;2.9;-9.9;849;;1021.9;;1529.1;4.4;43;2.6;9.4;15.8;4.2;15.1;;;0;74;2;;;;0;0;0.014
BLA;02.01.2025 03:00;-1.9;-3;-1.1;-4.4;-5.4;57.9;3.1;-9.1;848.5;;1021.3;;1524.3;4.2;43;2.1;7.6;15.1;4;14.4;;;0;74;2;;;;0;0;0.011
BLA;02.01.2025 04:00;-0.7;-1.6;-0.3;-3.3;-3.6;51.9;3;-9.4;847.9;;1020.7;;1519.1;5.5;52;2.6;9.4;19.8;5.2;18.7;;;0;74;3;;;;1;0;0.017
BLA;02.01.2025 05:00;-1.4;-2.1;-0.7;-3.8;-4.5;54;3;-9.5;847.6;;1020.3;;1516.2;4.1;43;2.4;8.6;14.8;4;14.4;;;0;74;2;;;;0;0;0.014
BLA;02.01.2025 06:00;-0.9;-1.2;0;-3;-3.3;53.2;3;-9.3;847.1;;1019.7;;1511.6;5;39;2.1;7.6;18;4.9;17.6;;;0;74;3;;;;0;0;0.013
BLA;02.01.2025 07:00;-0.9;-1.3;-0.3;-2.8;-3.2;53.6;3.1;-9.1;846.8;;1019.3;;1508.3;5;51;1.9;6.8;18;4.8;17.3;;;0;74;3;;;;1;0;0.012
BLA;02.01.2025 08:00;-0.4;-1.3;0.3;-2.3;-3;51.8;3.1;-9.1;846.5;;1019;;1505.8;3.7;49;1.4;5;13.3;3.5;12.6;;;0;74;15;;;;13;0;0.022
BLA;02.01.2025 09:00;-0.1;-0.4;0.3;-1.3;-1.6;53.8;3.3;-8.3;846.4;;1018.9;;1504.7;3.5;45;1.4;5;12.6;3.4;12.2;;;0;74;70;;;;68;0;0.041
BLA;02.01.2025 10:00;0.5;-0.2;1.1;-0.3;-0.8;56.7;3.6;-7.2;846.5;;1019;;1505.7;3.1;41;1.3;4.7;11.2;2.9;10.4;;;0;74;117;;;;113;0;0.058
BLA;02.01.2025 11:00;1.2;0.8;1.6;0.6;-0.1;52.4;3.5;-7.5;846.1;;1018.6;;1502;3.7;42;1.4;5;13.3;3.4;12.2;;;0;74;157;;;;152;0;0.076
BLA;02.01.2025 12:00;4.5;3.2;5.1;4.4;2.7;33.9;2.9;-10.1;845.3;;1017.7;;1494;5.8;263;1.6;5.8;20.9;5.6;20.2;;;0;74;197;;;;191;0;0.111
BLA;02.01.2025 13:00;5.1;4.9;5.3;5.2;4.8;29.8;2.6;-11.1;844.2;;1016.4;;1483.2;8.8;225;2.9;10.4;31.7;8.3;29.9;;;0;74;223;;;;207;0;0.139
BLA;02.01.2025 14:00;4.9;4.8;5;4.7;4.5;30.3;2.6;-11.1;843.3;;1015.3;;1474.4;7.7;234;2.6;9.4;27.7;7.4;26.6;;;0;73;175;;;;168;0;0.113
BLA;02.01.2025 15:00;4.3;3.2;4.9;3.8;2.3;36;3;-9.6;842.6;;1014.5;;1467.3;5.1;315;1.3;4.7;18.4;4.8;17.3;;;0;73;88;;;;77;0;0.055
BLA;02.01.2025 16:00;1.8;0.8;2.5;0.6;-0.3;54.2;3.8;-6.5;842.2;;1014;;1463.9;4.8;45;1.6;5.8;17.3;4.3;15.5;;;0;73;18;;;;16;0;0.014
BLA;02.01.2025 17:00;0.8;0.1;1.4;-0.6;-0.8;61.4;4;-5.9;842.1;;1013.9;;1463.2;3.3;56;1.3;4.7;11.9;3.1;11.2;;;0;73;3;;;;1;0;0.007
BLA;02.01.2025 18:00;1.5;0.6;2;0.5;-0.6;60.9;4.1;-5.3;842.3;;1014.1;;1465.1;5.4;315;1.4;5;19.4;4.7;16.9;;;0;73;3;;;;1;0;0.008
BLA;02.01.2025 19:00;-0.7;-0.9;-0.1;-0.9;-1.2;91.4;5.3;-1.9;842.3;;1014.1;;1465.9;3.7;33;1.7;6.1;13.3;3.6;13;;;0.5;75;3;;;;1;0;-0.001
BLA;02.01.2025 20:00;-0.9;-1;-0.9;-1.2;-1.2;95.7;5.5;-1.5;841.9;;1013.7;;1462.1;3.2;36;1.5;5.4;11.5;3.1;11.2;;;1.6;77;3;;;;1;0;-0.003
BLA;02.01.2025 21:00;-1.1;-1.1;-1;-1.3;-1.3;98.8;5.6;-1.2;841.6;;1013.3;;1459.5;1.7;135;0.5;1.8;6.1;1.6;5.8;;;2.3;82;2;;;;0;0;-0.006
BLA;02.01.2025 22:00;-1;-1.1;-0.9;-1.2;-1.3;99.2;5.6;-1.1;841.2;;1012.9;;1455.8;1.8;45;0.7;2.5;6.5;1.6;5.8;;;1.4;83;2;;;;0;0;-0.005
BLA;02.01.2025 23:00;-0.8;-0.9;-0.8;-1.1;-1.2;99.2;5.7;-0.9;841;;1012.6;;1453.7;1.4;63;0.5;1.8;5;1.3;4.7;;;1.5;85;2;;;;0;0;-0.006
BLA;03.01.2025 00:00;-0.5;-0.8;-0.4;-0.8;-1;98.8;5.8;-0.7;841;;1012.6;;1453.1;5.3;247;1.1;4;19.1;5;18;;;1.4;87;2;;;;0;0;-0.005
BLA;03.01.2025 01:00;-1.6;-2;-0.8;-2;-2.4;92.6;5;-2.7;841.4;;1013.1;;1457.9;6.3;32;2.1;7.6;22.7;6.1;22;;;0.7;88;2;;;;0;0;-0.001
BLA;03.01.2025 02:00;-2.3;-2.5;-2.1;-2.7;-2.8;93.1;4.8;-3.3;841.8;;1013.6;;1461.7;4.8;37;2.1;7.6;17.3;4.4;15.8;;;0.6;88;2;;;;0;0;-0.001
BLA;03.01.2025 03:00;-2.6;-2.8;-2.3;-3.4;-4;89.7;4.5;-4;841.8;;1013.6;;1462.2;3.7;66;1.2;4.3;13.3;3.6;13;;;0.1;88;2;;;;0;0;-0.002
BLA;03.01.2025 04:00;-3.3;-3.4;-3.1;-4.4;-4.5;92.7;4.5;-4.3;842.1;;1013.9;;1464.7;3.6;90;0.9;3.2;13;3.2;11.5;;;0;88;2;;;;0;0;-0.003
BLA;03.01.2025 05:00;-3.6;-4.6;-3.1;-5;-6.4;90.2;4.2;-5;842.5;;1014.4;;1468.9;3.1;79;1.1;4;11.2;2.9;10.4;;;0;87;2;;;;0;0;-0.002
BLA;03.01.2025 06:00;-5.9;-7.2;-4.2;-8;-9.2;87.5;3.5;-7.6;842.9;;1014.9;;1473.4;3.9;55;1.8;6.5;14;3.6;13;;;0;87;2;;;;0;0;0
BLA;03.01.2025 07:00;-7.9;-8.3;-7.6;-10.3;-10.6;78;2.6;-11;843.4;;1015.4;;1478;4.5;45;2.4;8.6;16.2;4.2;15.1;;;0;87;2;;;;0;0;0.003
BLA;03.01.2025 08:00;-8.4;-9.3;-7.8;-10.9;-11.7;74;2.4;-12.2;843.7;;1015.7;;1480.6;4.5;51;2.3;8.3;16.2;4.4;15.8;;;0;87;7;;;;4;0;0.016
BLA;03.01.2025 09:00;-10;-10.9;-8.9;-12.4;-13.5;76.2;2.2;-13.4;844.2;;1016.3;;1485.8;4.2;49;1.2;4.3;15.1;4;14.4;;;0;87;18;;;;15;0;0.015
BLA;03.01.2025 10:00;-11.3;-11.6;-10.9;-14;-14.1;78.9;2.1;-14.2;844.7;;1016.9;;1490.4;2.8;42;1.4;5;10.1;2.7;9.7;;;0;87;25;;;;21;0;0.016
BLA;03.01.2025 11:00;-11;-11.9;-10.5;-13.6;-14;73;1.9;-14.9;844.9;;1017.1;;1492.3;3.6;45;1.3;4.7;13;3.5;12.6;;;0;87;30;;;;26;0;0.019
BLA;03.01.2025 12:00;-10.3;-10.7;-9.8;-13.2;-13.4;70.5;2;-14.6;844.3;;1016.5;;1487.3;3.6;45;0.8;2.9;13;3.5;12.6;;;0;87;37;;;;34;0;0.02
BLA;03.01.2025 13:00;-8.8;-10.2;-7.2;-10.9;-12.8;68.7;2.2;-13.5;844;;1016.1;;1484.1;3.4;59;0.7;2.5;12.2;3.2;11.5;;;0;86;132;;;;38;29;0.039
BLA;03.01.2025 14:00;-6.3;-6.9;-5.8;-4.3;-5.1;60.8;2.3;-12.7;843.6;;1015.6;;1479.2;4.1;81;1;3.6;14.8;4;14.4;;;0;86;288;;;;43;60;0.068
BLA;03.01.2025 15:00;-6;-6.2;-5.8;-5.1;-5.8;49.2;1.9;-15;843.7;;1015.8;;1480.4;4.4;38;1.3;4.7;15.8;3.8;13.7;;;0;86;159;;;;33;60;0.037
BLA;03.01.2025 16:00;-7.8;-8.8;-6.1;-10.6;-12.4;55.8;1.9;-15.1;844;;1016.1;;1483.4;2.6;55;1.3;4.7;9.4;2.4;8.6;;;0;86;20;;;;11;9;0.006
BLA;03.01.2025 17:00;-10.3;-11;-9.4;-13.6;-14.1;57.5;1.6;-17.1;844.3;;1016.5;;1487.3;3.5;45;1.5;5.4;12.6;3.4;12.2;;;0;86;3;;;;0;0;0.005
BLA;03.01.2025 18:00;-10.4;-10.8;-9.8;-13.6;-14.4;55.5;1.5;-17.7;844.6;;1016.8;;1489.4;3.4;51;1.4;5;12.2;3.2;11.5;;;0;86;2;;;;0;0;0.005
BLA;03.01.2025 19:00;-11.7;-12.5;-10.6;-15.2;-16;65;1.6;-16.9;845.1;;1017.4;;1494.4;1.9;45;0.7;2.5;6.8;1.8;6.5;;;0;86;3;;;;0;0;0
BLA;03.01.2025 20:00;-13.3;-13.7;-12.9;-16.3;-16.8;69.8;1.5;-17.6;845.8;;1018.2;;1500.7;2.4;41;1;3.6;8.6;2.3;8.3;;;0;85;3;;;;0;0;0.001
BLA;03.01.2025 21:00;-13.6;-13.8;-13.2;-16.5;-16.7;75;1.6;-17.1;846.2;;1018.7;;1504.6;2.2;45;0.9;3.2;7.9;2.2;7.9;;;0;85;2;;;;0;0;0
BLA;03.01.2025 22:00;-14.2;-14.7;-13.9;-17.3;-17.8;77.2;1.6;-17.3;846;;1018.4;;1502.6;2.3;45;1;3.6;8.3;2.2;7.9;;;0;85;2;;;;0;0;0
BLA;03.01.2025 23:00;-14.4;-14.6;-14.2;-17.5;-17.8;78.8;1.6;-17.3;846;;1018.4;;1503.1;2.2;40;1;3.6;7.9;2;7.2;;;0;85;2;;;;0;0;0
BLA;04.01.2025 00:00;-14.6;-15;-14.1;-17.7;-18;73.9;1.5;-18.2;845.7;;1018.1;;1500.1;2.2;41;1;3.6;7.9;2.1;7.6;;;0;85;2;;;;0;0;0.001
BLA;04.01.2025 01:00;-14.5;-14.6;-14.3;-17.5;-17.6;73.1;1.5;-18.3;845.3;;1017.6;;1496.7;2.9;45;1.1;4;10.4;2.7;9.7;;;0;85;2;;;;0;0;0.001
BLA;04.01.2025 02:00;-14.5;-14.7;-14.3;-17.6;-18;74.5;1.5;-18;845;;1017.3;;1494.3;2.4;36;0.9;3.2;8.6;2.3;8.3;;;0;85;2;;;;0;0;0
BLA;04.01.2025 03:00;-14.6;-14.7;-14.4;-17.5;-17.6;74.9;1.5;-18;845;;1017.3;;1494.1;1.7;37;1;3.6;6.1;1.6;5.8;;;0;85;2;;;;0;0;0
BLA;04.01.2025 04:00;-14.6;-14.9;-14.3;-17.3;-17.6;82.9;1.6;-16.9;845;;1017.3;;1493.8;2.6;41;1;3.6;9.4;2.5;9;;;0;85;2;;;;0;0;-0.001
BLA;04.01.2025 05:00;-14.4;-15.1;-14.2;-17.4;-17.8;81.2;1.6;-16.9;844.4;;1016.6;;1488.7;2.4;40;0.9;3.2;8.6;2.3;8.3;;;0;85;2;;;;0;0;-0.001
BLA;04.01.2025 06:00;-14.3;-14.6;-13.9;-17.1;-17.4;78.7;1.6;-17.2;844.6;;1016.8;;1490.6;2.7;42;1.2;4.3;9.7;2.6;9.4;;;0;85;2;;;;0;0;0
BLA;04.01.2025 07:00;-13.9;-14.2;-13.5;-16.9;-17.1;74.1;1.6;-17.5;844.4;;1016.6;;1488.9;2.5;45;1.1;4;9;2.3;8.3;;;0;84;2;;;;0;0;0.001
BLA;04.01.2025 08:00;-12.9;-13.5;-12.4;-16;-16.4;69.7;1.6;-17.2;844.4;;1016.6;;1488.7;2.9;38;1.2;4.3;10.4;2.8;10.1;;;0;84;8;;;;5;0;0.01
BLA;04.01.2025 09:00;-12.1;-12.4;-11.9;-15;-15.4;69.2;1.7;-16.6;844.3;;1016.4;;1486.9;2.1;37;1;3.6;7.6;2.1;7.6;;;0;84;27;;;;24;0;0.015
BLA;04.01.2025 10:00;-11;-11.7;-10.2;-13.6;-14.3;69.2;1.8;-15.6;844.5;;1016.7;;1488.6;2.1;45;0.8;2.9;7.6;2;7.2;;;0;84;54;;;;53;0;0.021
BLA;04.01.2025 11:00;-9.4;-10.1;-8.6;-11.1;-12.2;65.8;2;-14.6;844;;1016.2;;1484.3;2.3;34;0.9;3.2;8.3;2.2;7.9;;;0;84;121;;;;118;0;0.037
BLA;04.01.2025 12:00;-7.4;-7.9;-6.8;-9.2;-9.6;66;2.3;-12.6;843.5;;1015.6;;1479.1;3.2;36;1.2;4.3;11.5;3;10.8;;;0;84;136;;;;122;0;0.045
BLA;04.01.2025 13:00;-5.3;-6.8;-4.2;-6;-7.9;62.8;2.6;-11.3;843;;1014.9;;1473.7;2.3;37;0.8;2.9;8.3;2.2;7.9;;;0;84;152;;;;144;0;0.051
BLA;04.01.2025 14:00;-2.7;-3.8;-1.9;-2.5;-4.4;56;2.8;-10.3;842.5;;1014.3;;1468.2;3;59;1.1;4;10.8;2.9;10.4;;;0;84;175;;;;140;11;0.06
